manager,manager,years_active,first_year,last_year,total_actions,current_holdings,buy_actions,sell_actions,add_actions,reduce_actions,consistency_score,2022_inflation_actions,2022_inflation_buy_ratio,total_crisis_actions,crisis_buying_ratio,2008_financial_actions,2008_financial_buy_ratio,2020_covid_actions,2020_covid_buy_ratio,current_portfolio_value,estimated_initial_value,total_return_pct,annualized_return_pct,track_record_score
DODGX,Dodge & Cox,6,2020,2025,1000,78,46,0,417,498,0.6422939754491126,158.0,0.5506329113924051,158,0.5506329113924051,,,,,109558564000,61842953192.128265,77.16,12.86,25.1522086229063
AIM,Alex Roepers,14,2012,2025,870,9,181,0,233,271,0.597337034803851,31.0,0.3870967741935484,73,0.3972602739726027,,,42.0,0.4047619047619047,178987000,47132871.21448229,279.75,19.98,25.11934343580305
GC,Francois Rochon,7,2019,2025,1000,54,76,0,623,240,0.525556466303242,122.0,0.8278688524590164,203,0.7438423645320197,,,81.0,0.6172839506172839,2712834000,1392112790.5122802,94.87,13.55,25.04955297138504
OFALX,Robert Olstein,4,2022,2025,1000,101,28,0,431,514,0.60706234591223,72.0,0.6666666666666666,72,0.6666666666666666,,,,,533442000,364348063.6568539,46.41,11.6,25.007913584911265
tci,Chris Hohn,10,2016,2025,329,10,47,0,141,97,0.5554844750111898,30.0,0.5333333333333333,62,0.5806451612903226,,,32.0,0.625,43372529000,16721987501.537745,159.37,15.94,24.916141113127026
SSHFX,Harry Burn,8,2018,2025,1000,37,113,0,304,472,0.6550312643565673,91.0,0.4285714285714285,177,0.423728813559322,,,86.0,0.4186046511627907,2854640000,1331710627.8419125,114.36,14.3,24.737913422724567
LT,Lindsell Train,8,2018,2025,311,29,24,0,130,150,0.5366841127481083,31.0,0.4516129032258064,66,0.6515151515151515,,,35.0,0.8285714285714286,3614010000,1685962337.1517775,114.36,14.3,24.648833770113683
cc,William Von Mueffling,8,2018,2025,1000,37,27,0,248,702,0.6117143908336103,116.0,0.4568965517241379,189,0.4973544973544973,,,73.0,0.5616438356164384,15442294000,7203944118.36848,114.36,14.3,24.60783279021718
WP,David Rolfe,9,2017,2025,1000,20,57,0,194,678,0.645428427535427,113.0,0.4867256637168141,184,0.3967391304347826,,,71.0,0.2535211267605634,496460000,210547503.61720368,135.79,15.09,24.575959855056364
AP,AltaRock Partners,7,2019,2025,147,9,6,0,56,82,0.5253994797547284,22.0,0.7272727272727273,35,0.6857142857142857,,,13.0,0.6153846153846154,4973323000,2552101072.033492,94.87,13.55,24.465132452237427
fairx,Bruce Berkowitz,19,2007,2025,818,12,142,0,248,277,0.4283948064020865,38.0,0.4473684210526316,143,0.5104895104895105,91.0,0.5274725274725275,14.0,0.5714285714285714,1215173000,198690495.73668072,511.59,26.93,24.372791232936837
SA,Christopher Bloomstran,8,2018,2025,648,36,34,0,302,285,0.5391051483516917,78.0,0.6538461538461539,131,0.6183206106870229,,,53.0,0.5660377358490566,620319000,289383391.58432144,114.36,14.3,24.36530907390406
SEQUX,Ruane Cunniff,19,2007,2025,984,24,93,0,142,656,0.5003836545828234,33.0,0.3636363636363636,121,0.3471074380165289,37.0,0.3783783783783784,51.0,0.3137254901960784,3304839000,540367584.8952504,511.59,26.93,24.17874747182176
VFC,Valley Forge Capital Management,7,2019,2025,104,9,5,0,74,20,0.3949434391607709,13.0,0.8461538461538461,23,0.9130434782608696,,,10.0,1.0,4388953000,2252226862.4830136,94.87,13.55,24.129303565824117
oa,Leon Cooperman,8,2018,2025,1000,41,181,0,369,241,0.6023842486592292,103.0,0.4854368932038835,169,0.4615384615384615,,,66.0,0.4242424242424242,2518760000,1175020128.9770672,114.36,14.3,24.0630695885692
FPACX,Steven Romick,9,2017,2025,1000,53,94,0,201,624,0.6349602761342268,105.0,0.3333333333333333,194,0.3659793814432989,,,89.0,0.4044943820224719,6349612000,2692855326.7893486,135.79,15.09,24.058999337117527
FS,Terry Smith,8,2018,2025,915,38,54,0,458,370,0.547934114305721,122.0,0.5409836065573771,189,0.5608465608465608,,,67.0,0.5970149253731343,21974629000,10251326605.870829,114.36,14.3,23.96714789458003
MKL,Thomas Gayner,7,2019,2025,1000,135,86,0,783,46,0.4136352102430888,158.0,0.9367088607594936,272,0.8308823529411765,,,114.0,0.6842105263157895,11261372000,5778864464.215967,94.87,13.55,23.68152773427354
JIM,Jensen Investment Management,5,2021,2025,1000,84,33,0,363,579,0.5543684257146941,177.0,0.6045197740112994,177,0.6045197740112994,,,,,9043335000,5615199533.067163,61.05,12.21,23.632566254406875
