ticker,company_name,top_managers,managers_shown,manager_count,total_value,avg_portfolio_pct,total_shares,max_portfolio_pct,consensus_score,first_period,latest_period,recent_buyers,_analysis_type,_generated,_periods,_window_quarters
FICO,Fair Isaac Corp.,"Valley Forge Capital Management, Chuck Akre, John Rogers, Terry Smith, AKO Capital, +3 more",5,8,1659394000,5.96,1388870,25.77,47.67,Q1 2020,Q4 2025,6.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
UBER,Uber Technologies Inc.,"Bill Ackman, David Tepper, Chase Coleman, First Pacific Advisors, Pat Dorsey, +6 more",5,11,4488951000,3.88,62208276,12.72,42.7,Q1 2020,Q4 2025,9.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AMAT,Applied Materials,"Glenn Greenberg, Stephen Mandel, Abrams Bison Investments, Lee Ainslie, Bill Nygren, +7 more",5,12,3012319000,3.52,4166484,19.48,42.28,Q1 2020,Q4 2025,7.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
C,Citigroup Inc.,"Kahn Brothers Group, Bill Nygren, First Pacific Advisors, Samantha McLemore, Sarah Ketterer, +3 more",5,8,2892143000,4.96,20664062,18.5,39.7,Q1 2010,Q4 2025,1.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
COF,Capital One Financial,"Viking Global Investors, Glenn Greenberg, Daniel Loeb, Abrams Bison Investments, Lee Ainslie, +11 more",5,16,8654828000,2.41,43139883,7.13,38.55,Q1 2020,Q4 2025,10.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
SUNB,Sunbelt Rentals Holdings Inc,"Glenn Greenberg, Christopher Bloomstran, Abrams Bison Investments, Bill Nygren, Francois Rochon, +6 more",5,11,6431651000,3.46,85931300,10.59,38.08,Q1 2026,Q2 2026,12.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AXP,American Express,"First Eagle Investment Management, Christopher Bloomstran, Bill Nygren, Warren Buffett, Francois Rochon, +11 more",5,16,52363646000,2.38,154807652,17.14,38.06,Q1 2009,Q4 2025,3.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
ELV,Elevance Health Inc.,"First Eagle Investment Management, Glenn Greenberg, Bill Nygren, Arnold Van Den Berg, Ruane Cunniff LP, +7 more",5,12,5160316000,3.12,13343460,9.11,37.48,Q1 2009,Q4 2025,8.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CROX,Crocs Inc.,"Bill Miller, David Einhorn, Norbert Lou, Li Lu, Samantha McLemore, +1 more",5,6,359612000,6.06,2980866,27.2,36.36,Q1 2023,Q4 2025,5.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
DIS,Walt Disney Co.,"First Eagle Investment Management, Kahn Brothers Group, Viking Global Investors, Duan Yongping, Christopher Bloomstran, +15 more",5,20,2421963000,1.77,25163255,9.55,35.46,Q1 2017,Q4 2025,17.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CVS,CVS Health Corp.,"Viking Global Investors, Bill Nygren, John Rogers, Hillman Capital Management, Prem Watsa, +5 more",5,10,8522911000,3.25,82386660,10.63,32.51,Q1 2019,Q4 2025,6.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
EQH,Equitable Holdings Inc.,"Viking Global Investors, Bill Nygren, Ruane Cunniff LP, Greg Alexander, Richard Pzena",5,5,1083400000,6.47,24690047,30.38,32.36,Q1 2022,Q4 2025,3.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AVGO,Broadcom Inc.,"David Tepper, Lee Ainslie, Bill Nygren, Chase Coleman, First Pacific Advisors, +8 more",5,13,1752812000,2.32,4640134,10.61,30.15,Q1 2020,Q4 2025,12.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
ICLR,ICON plc,"Muhlenkamp, Glenn Greenberg, Bill Nygren, First Pacific Advisors, Ruane Cunniff LP, +1 more",5,6,2335186000,4.9,13443016,11.94,29.39,Q1 2025,Q4 2025,8.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
FERG,Ferguson Enterprises Inc.,"First Eagle Investment Management, Henry Ellenbogen, First Pacific Advisors, Francois Rochon, Ruane Cunniff LP, +6 more",5,11,1963409000,2.53,8272914,6.88,27.83,Q1 2021,Q4 2025,9.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
