ticker,manager,total_value,portfolio_pct,recent_actions,action_details,periods,change_type,concentration_score,_analysis_type,_generated,_periods,_window_quarters
TRMD,Howard Marks,675076000,15.67,"Reduce, Reduce",Reduce 9.78%; Reduce 34.88%,"Q1 2026, Q4 2025",Reduced,15.67,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
NFLX,Josh Tarasoff,26872000,7.8,Buy,Buy,Q1 2026,New High Conviction,15.6,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BRK.A,Guy Spier - Aquamarine Capital,22466000,15.59,,,,Maintained,15.59,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AXP,Guy Spier - Aquamarine Capital,21986000,15.26,Reduce,Reduce 69.05%,Q4 2025,Reduced,15.26,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AMZN,David Tepper,899726000,15.16,"Add, Reduce",Add 98.22%; Reduce 12.82%,"Q1 2026, Q4 2025",Reduced,15.16,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
PDD,Duan Yongping,2017881000,10.09,"Add, Add",Add 71.18%; Add 34.55%,"Q1 2026, Q4 2025",Increased,15.135,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
SPGI,Pat Dorsey,94716000,7.54,Buy,Buy,Q1 2026,New High Conviction,15.08,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
GOOG,Bryan Lawrence,33896000,14.96,,,,Maintained,14.96,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
MCO,John Armitage,771879000,7.46,"Add, Add, Buy",Add 10.26%; Add 99.85%; Buy,"Q2 2026, Q1 2026, Q4 2025",New High Conviction,14.92,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
LYV,Pat Dorsey,92666000,7.38,"Add, Buy",Add 0.77%; Buy,"Q1 2026, Q4 2025",New High Conviction,14.76,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
