ticker,company_name,current_price,manager_count,managers,total_value,avg_portfolio_pct,max_portfolio_pct,total_shares,latest_date,recent_activity_score,price_momentum_score,manager_quality_score,hidden_gem_score,gem_type,first_discovered,_analysis_type,_generated,_periods,_window_quarters
HGV,Hilton Grand Vacations Inc.,42.17,2,"Clifford Sosin, Ruane Cunniff LP",272902000,7.24,14.48,5211045,30 Jun 2026,0.1,0.7109081139172485,1.0,0.891,Value Opportunity,Q2 2026,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
MAT,Mattel Inc.,14.64,2,"Mason Hawkins, John Rogers",385010000,5.52,8.92,27738510,30 Jun 2026,0.5,0.8041025641025641,1.0,0.888,Value Opportunity,,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
ASH,Ashland Global Holdings Inc.,74.22,2,"Alex Roepers, Leon Cooperman",158400000,10.5,17.47,2404000,30 Jun 2026,0.2,0.1092796092796092,1.0,0.881,Under-Radar,Q2 2026,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
NBR,Nabors Industries Ltd.,95.61,1,Bill Miller,37423000,8.85,8.85,445460,30 Jun 2026,0.1,0.2210997442455243,1.0,0.879,Conviction Play,,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BL,BlackLine Inc.,32.18,1,Glenn Welling,23231000,7.19,7.19,827619,30 Jun 2026,0.2,0.7854889589905363,1.0,0.879,Value Opportunity,,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
RKT,Rocket Companies Inc.,13.56,4,"ValueAct Capital, Henry Ellenbogen, Leon Cooperman, Christopher Davis",1317279000,5.95,11.65,83636760,30 Jun 2026,1.0,0.8859721082854799,1.0,0.877,Value Opportunity,Q4 2025,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
SLM,SLM Corp.,26.51,3,"Glenn Greenberg, Sarah Ketterer, Michael Burry",360623000,10.57,24.16,13869973,30 Sep 2025,0.4,0.3567839195979899,1.0,0.875,Under-Radar,Q1 2026,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CNX,CNX Resources Corp.,37.58,1,Mason Hawkins,158218000,8.25,8.25,4663053,30 Jun 2026,0.1,0.4081081081081081,1.0,0.871,Conviction Play,,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
NOMD,Nomad Foods Ltd,11.59,1,Alex Roepers,14605000,7.61,7.61,1333772,30 Jun 2026,0.2,0.5235602094240837,1.0,0.865,Conviction Play,,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
ORLA-OLD,Orla Mining Ltd,9.45,3,"First Eagle Investment Management, Prem Watsa, Sarah Ketterer",615546000,7.21,21.55,63219430,30 Jun 2026,0.2,0.9245562130177516,1.0,0.863,Value Opportunity,Q2 2026,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
RBC,RBC Bearings Inc.,490.89,2,"Henry Ellenbogen, Torray Funds",1106517000,5.78,10.7,1718033,30 Jun 2026,0.2,0.5831326890728586,1.0,0.858,Under-Radar,,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
RYAN,Ryan Specialty Holdings Inc,42.34,2,"Vulcan Value Partners, Torray Funds",301724000,4.76,9.09,7990580,30 Jun 2026,0.6,0.5481784133469525,1.0,0.856,Emerging Pick,,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BFAM,Bright Horizons Family Solutions Inc.,71.95,2,"Abrams Bison Investments, Francois Rochon",246240000,5.43,8.28,3474042,30 Jun 2026,0.5,0.7600134070722305,1.0,0.854,Value Opportunity,Q1 2026,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
