ticker,company_name,managers_shown,total_value,unique_sellers,selling_managers,periods,shares_sold,remaining_holders,exit_rate_pct,total_sells,exit_status,buy_count,add_count,reduce_count,sell_count,_analysis_type,_generated,_periods,_window_quarters
MCO,Moody's Corp.,5,19683296000.0,10,"William Von Mueffling, Bill Nygren, Valley Forge Capital Management, AltaRock Partners, Arnold Van Den Berg, +5 more","Q4 2025, Q2 2026, Q1 2026",1696491,17.0,37.03703703703704,15,Light Selling,0,0,15,0,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
FLUT,Flutter Entertainment Plc,5,229118000.0,9,"William Von Mueffling, John Armitage, Lee Ainslie, Henry Ellenbogen, Daniel Loeb, +4 more","Q4 2025, Q2 2026, Q1 2026",14678442,3.0,75.0,12,Partial Exit,0,0,4,8,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CHTR,Charter Communications,5,4858647000.0,9,"Lee Ainslie, Bill Nygren, Warren Buffett, Triple Frond Partners, Tom Bancroft, +4 more","Q4 2025, Q1 2026",2982260,7.0,56.25,12,Partial Exit,0,0,8,4,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BMY,Bristol-Myers Squibb,5,1381827000.0,9,"David Katz, Bill Miller, Hillman Capital Management, John Rogers, Dodge & Cox Funds, +4 more","Q4 2025, Q1 2026",3849105,8.0,52.94117647058824,13,Partial Exit,0,0,11,2,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
C,Citigroup Inc.,5,2757817000.0,9,"Greenhaven Associates, Bill Nygren, Sarah Ketterer, Francis Chou, Samantha McLemore, +4 more","Q4 2025, Q1 2026",10244528,8.0,52.94117647058824,16,Partial Exit,0,0,15,1,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
PM,Philip Morris Intl.,5,2697684000.0,9,"Lee Ainslie, Viking Global Investors, Stephen Mandel, Terry Smith, First Eagle Investment Management, +4 more","Q4 2025, Q1 2026",13132005,8.0,52.94117647058824,11,Partial Exit,0,0,9,2,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
ADI,Analog Devices,5,1466761000.0,9,"Thomas Gayner, William Von Mueffling, Francois Rochon, AKO Capital, First Eagle Investment Management, +4 more","Q4 2025, Q2 2026, Q1 2026",4919740,9.0,50.0,16,Partial Exit,0,0,16,0,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
FDX,FedEx Corp.,5,5248494000.0,9,"Thomas Gayner, David Katz, Lee Ainslie, Mason Hawkins, Arnold Van Den Berg, +4 more","Q4 2025, Q2 2026, Q1 2026",6903268,9.0,50.0,16,Partial Exit,0,0,14,2,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
PEP,PepsiCo Inc.,5,539131000.0,9,"Lindsell Train, Lee Ainslie, Bill Nygren, First Eagle Investment Management, Polen Capital Management, +4 more","Q4 2025, Q2 2026, Q1 2026",1244844,11.0,45.0,16,Light Selling,0,0,14,2,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AVGO,Broadcom Inc.,5,2234389000.0,9,"Torray Funds, William Von Mueffling, David Katz, Stephen Mandel, Chase Coleman, +4 more","Q4 2025, Q2 2026, Q1 2026",8103268,12.0,42.85714285714285,14,Light Selling,0,0,13,1,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
TXN,Texas Instruments,5,2166480000.0,9,"Torray Funds, David Katz, Bill Nygren, Arnold Van Den Berg, Terry Smith, +4 more","Q4 2025, Q2 2026, Q1 2026",239437,12.0,42.85714285714285,14,Light Selling,0,0,14,0,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CMCSA,Comcast Corp.,5,5507549000.0,9,"Thomas Gayner, David Katz, Bill Nygren, Hillman Capital Management, Wallace Weitz, +4 more","Q4 2025, Q2 2026, Q1 2026",4869802,14.0,39.130434782608695,11,Light Selling,0,0,10,1,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
KMX,CarMax Inc.,5,250783000.0,8,"Francois Rochon, Hillman Capital Management, Ruane Cunniff LP, John Rogers, Chuck Akre, +3 more","Q4 2025, Q1 2026",3810147,5.0,61.53846153846154,9,Partial Exit,0,0,4,5,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BKNG,Booking Holdings Inc.,5,4602215000.0,8,"Lee Ainslie, Bill Nygren, Henry Ellenbogen, Stephen Mandel, David Rolfe, +3 more","Q4 2025, Q1 2026",2717750,7.0,53.333333333333336,12,Partial Exit,0,0,10,2,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
PYPL,PayPal Holdings Inc.,5,351476000.0,8,"David Katz, Lindsell Train, Norbert Lou, Mason Hawkins, David Rolfe, +3 more","Q4 2025, Q2 2026, Q1 2026",3446608,7.0,53.333333333333336,14,Partial Exit,0,0,10,4,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
KO,Coca Cola Co.,5,30692526000.0,8,"Lindsell Train, Lee Ainslie, Bill Nygren, Polen Capital Management, Mairs & Power Funds, +3 more","Q4 2025, Q1 2026",349074,9.0,47.05882352941176,12,Light Selling,0,0,10,2,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
ADBE,Adobe Inc.,5,1264663000.0,8,"Thomas Gayner, Torray Funds, William Von Mueffling, Lee Ainslie, Hillman Capital Management, +3 more","Q4 2025, Q2 2026, Q1 2026",3058398,10.0,44.44444444444444,12,Light Selling,0,0,8,4,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
FISV,Fiserv Inc.,5,4621116000.0,8,"Torray Funds, David Katz, Norbert Lou, David Tepper, Francois Rochon, +3 more","Q4 2025, Q1 2026",4386789,10.0,44.44444444444444,8,Light Selling,0,0,2,6,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AMAT,Applied Materials,5,1992409000.0,8,"Torray Funds, William Von Mueffling, David Katz, Abrams Bison Investments, Lee Ainslie, +3 more","Q4 2025, Q2 2026, Q1 2026",8336089,11.0,42.10526315789473,14,Light Selling,0,0,11,3,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CVS,CVS Health Corp.,5,5972784000.0,8,"David Katz, Bill Nygren, Hillman Capital Management, John Rogers, Dodge & Cox Funds, +3 more","Q4 2025, Q1 2026",24354552,11.0,42.10526315789473,13,Light Selling,0,0,13,0,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
ELV,Elevance Health Inc.,5,4048037000.0,8,"Glenn Greenberg, Leon Cooperman, Arnold Van Den Berg, Ruane Cunniff LP, Seth Klarman, +3 more","Q4 2025, Q1 2026",1064610,12.0,40.0,11,Light Selling,0,0,11,0,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
JNJ,Johnson & Johnson,5,742366000.0,8,"Torray Funds, David Katz, John Rogers, Mairs & Power Funds, Tweedy Browne, +3 more","Q4 2025, Q1 2026",544609,12.0,40.0,15,Light Selling,0,0,15,0,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
ORCL,Oracle Corp.,5,2153247000.0,8,"William Von Mueffling, Bill Nygren, John Rogers, First Eagle Investment Management, Sarah Ketterer, +3 more","Q4 2025, Q2 2026, Q1 2026",6255044,12.0,40.0,12,Light Selling,0,0,11,1,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CVX,Chevron Corp.,5,17545983000.0,8,"Torray Funds, Bill Nygren, Christopher Bloomstran, Warren Buffett, Dodge & Cox Funds, +3 more","Q4 2025, Q1 2026",45810233,13.0,38.095238095238095,9,Light Selling,0,0,9,0,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
