ticker,company_name,current_price,manager,total_value,portfolio_pct,risk_level,_analysis_type,_generated,_periods,_window_quarters
PDD,Pinduoduo Inc.,84.0,Li Lu,820858000,22.17,Very High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
AAPL,Apple Inc.,316.85,Warren Buffett,65950296000,22.04,Very High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
ORLA-OLD,Orla Mining Ltd,9.45,Prem Watsa,568456000,21.55,Very High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
BRK.B,Berkshire Hathaway CL B,504.03,Bill & Melinda Gates Foundation Trust,7350651000,21.35,Very High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
ASML,ASML Holding NV,1696.01,Triple Frond Partners,236578000,21.11,Very High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
MSFT,Microsoft Corp.,507.29,AltaRock Partners,870808000,20.54,Very High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
META,Meta Platforms Inc.,572.34,Robert Vinall,78296000,20.45,Very High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
VRT,Vertiv Holdings Co.,258.72,Leon Cooperman,722471000,20.37,Very High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
MA,Mastercard Inc.,589.31,Chuck Akre,1022016000,20.01,Very High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
SPGI,S&P Global Inc.,435.84,Valley Forge Capital Management,620679000,19.92,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
V,Visa Inc.,379.37,Chris Hohn,10462232000,19.83,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
CAT,Caterpillar Inc.,797.47,Bill & Melinda Gates Foundation Trust,6765964000,19.65,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
AMAT,Applied Materials,458.39,Abrams Bison Investments,399096000,19.48,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
GRBK,Green Brick Partners,72.22,David Einhorn,757769000,19.39,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
MCO,Moody's Corp.,504.64,Valley Forge Capital Management,596581000,19.14,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
AZN,AstraZeneca PLC,162.13,Sarah Ketterer,1751546000,19.03,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
C,Citigroup Inc.,131.62,Kahn Brothers Group,117054000,18.5,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
AMZN,Amazon.com Inc.,259.77,Josh Tarasoff,66819000,18.35,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
YETI,YETI Holdings Inc.,41.05,Glenn Welling,59179000,18.33,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
CACC,Credit Acceptance Corp.,599.74,Robert Vinall,68941000,18.01,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
CNI,Canadian Natl Railway Co.,124.75,Bill & Melinda Gates Foundation Trust,6179826000,17.95,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
MA,Mastercard Inc.,589.31,Valley Forge Capital Management,547464000,17.57,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
GOOGL,Alphabet Inc.,339.35,Lindsell Train,459880000,17.49,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
ASH,Ashland Global Holdings Inc.,73.33,Alex Roepers,33538000,17.47,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
WM,Waste Management Inc.,218.92,Bill & Melinda Gates Foundation Trust,5955519000,17.3,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
AXP,American Express,330.17,Warren Buffett,51282319000,17.14,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
CNH,CNH Industrial NV,11.83,Tweedy Browne,225901000,17.11,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
BABA,Alibaba Group Holdings,114.02,Dennis Hong,39271000,16.92,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
ASML,ASML Holding NV,1696.01,Pat Dorsey,259351000,16.61,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
AMZN,Amazon.com Inc.,259.77,Seth Klarman,892310000,16.48,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
