ticker,company_name,top_managers,managers_shown,manager_count,trend,momentum,buys,adds,reduces,sells,recent_activity,_analysis_type,_generated,_periods,_window_quarters
VUG,Vanguard Growth ETF,"David Katz, Arnold Van Den Berg, Torray Funds",3,6,Slight Distribute,-15.4,2,9,14,1,15,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
WMT,Walmart Inc.,"Warren Buffett, Bill & Melinda Gates Foundation Trust, David Katz",3,11,Slight Distribute,-17.5,3,23,32,5,15,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
AMT,American Tower Corp.,"Chuck Akre, William Von Mueffling, Torray Funds",3,8,Distributing,-20.7,2,42,62,5,15,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
NVST,Envista Holdings Corp.,"John Rogers, Tweedy Browne, Bill Nygren",3,6,Distributing,-22.6,2,10,19,0,15,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
ABBV,AbbVie Inc.,"Torray Funds, David Katz, Warren Buffett",3,11,Distributing,-26.3,4,17,32,4,15,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
AMD,Advanced Micro Devices,"David Tepper, Viking Global Investors, Mairs & Power Funds",3,8,Distributing,-28.2,9,5,17,8,15,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
APH,Amphenol Corp.,"Jensen Investment Management, Torray Funds, John Armitage",3,7,Distributing,-28.6,6,9,25,2,15,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
RTX,RTX Corp.,"Hillman Capital Management, Jensen Investment Management, David Katz",3,13,Distributing,-28.8,7,14,31,7,15,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
JLL,Jones Lang Lasalle Inc.,"Sarah Ketterer, John Rogers, Third Avenue Management",3,6,Distributing,-45.9,3,7,27,0,15,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
KSPI,Jsc Kaspi.kz ADR,"John Rogers, Richard Pzena, Dodge & Cox Funds",3,5,Accumulating,76.0,3,19,3,0,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
CROX,Crocs Inc.,"Samantha McLemore, Bill Miller, Bill & Melinda Gates Foundation Trust",3,8,Accumulating,42.9,9,16,7,3,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
GEHC,GE HealthCare Technologies Inc.,"Harry Burn, Bill Nygren, John Armitage",3,9,Accumulating,42.2,6,26,11,2,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
ABNB,Airbnb Inc.,"Thomas Gayner, Bill Nygren, Chuck Akre",3,8,Accumulating,35.5,7,14,5,5,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
ABM,ABM Industries,"Vulcan Value Partners, Richard Pzena, Bill Nygren",3,6,Accumulating,23.1,3,13,10,0,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
MEDP,Medpace Holdings Inc.,"Francois Rochon, Vulcan Value Partners, Mairs & Power Funds",3,5,Slight Accumulate,20.0,2,16,11,1,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
AJG,Arthur J. Gallagher & Co.,"Torray Funds, Viking Global Investors, John Rogers",3,6,Slight Accumulate,15.4,5,10,8,3,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
DG,Dollar General,"Christopher Bloomstran, Thomas Gayner, Pat Dorsey",3,15,Slight Accumulate,14.3,14,42,31,11,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
LAMR,Lamar Advertising Co.,"Tom Bancroft, Thomas Gayner, Chuck Akre",3,7,Slight Accumulate,8.0,4,23,18,5,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
MKL,Markel Group Inc.,"Chuck Akre, Francois Rochon, Thomas Russo",3,8,Slight Accumulate,3.6,2,56,51,3,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
VOO,Vanguard S&P 500 ETF,"Prem Watsa, David Katz, Arnold Van Den Berg",3,10,Slight Accumulate,1.9,10,17,18,8,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
MHK,Mohawk Industries,"Third Avenue Management, John Rogers, Richard Pzena",3,13,Slight Distribute,-3.6,7,20,16,13,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
LFUS,Littelfuse Inc.,"Francois Rochon, John Rogers, Vulcan Value Partners",3,6,Slight Distribute,-5.0,2,17,21,0,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
DAL,Delta Air Lines Inc.,"Samantha McLemore, Warren Buffett, Bill Miller",3,9,Slight Distribute,-7.1,5,21,25,5,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
SPOT,Spotify Technology S.A.,"Josh Tarasoff, Chase Coleman, ValueAct Capital",3,11,Slight Distribute,-8.5,10,17,26,6,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
B,Barrick Mining Corp.,"Harry Burn, Howard Marks, Sarah Ketterer",3,7,Slight Distribute,-12.5,5,9,16,2,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
PSX,Phillips 66,"Warren Buffett, Torray Funds, Bill Nygren",3,6,Slight Distribute,-13.7,4,18,26,3,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
JD,JD.com Inc.,"Chase Coleman, David Tepper, Michael Burry",3,15,Slight Distribute,-16.0,11,31,45,13,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
EBAY,eBay Inc.,"Lindsell Train, Pat Dorsey, Yacktman Asset Management",3,13,Distributing,-21.1,9,36,57,12,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
MSI,Motorola Solutions Inc.,"David Rolfe, John Rogers, Glenn Greenberg",3,10,Distributing,-21.2,7,19,36,4,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
NOW,ServiceNow Inc.,"Stephen Mandel, Chase Coleman, Torray Funds",3,8,Distributing,-29.4,4,14,30,3,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
ABT,Abbott Labs,"Jensen Investment Management, Torray Funds, Mairs & Power Funds",3,11,Distributing,-44.4,4,6,21,5,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
CASY,Casey's Gen'l Stores,"Torray Funds, Daniel Loeb, Mairs & Power Funds",3,5,Distributing,-47.8,2,4,15,2,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
BRK.A,Berkshire Hathaway CL A,"Bruce Berkowitz, Christopher Bloomstran, Thomas Russo",3,17,Distributing,-48.3,4,26,80,6,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
VMC,Vulcan Materials,"John Armitage, Thomas Russo, Wallace Weitz",3,5,Distributing,-50.0,4,8,33,3,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
CTSH,Cognizant Technology Solutions,"Yacktman Asset Management, Jensen Investment Management, David Rolfe",3,6,Distributing,-50.9,1,13,42,1,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
UL,Unilever PLC,"Yacktman Asset Management, Thomas Russo, Tweedy Browne",3,9,Distributing,-52.0,4,8,33,5,14,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
IWD,Ishares Russell 1000 Value E,"David Katz, Vulcan Value Partners, Mairs & Power Funds",3,7,Accumulating,28.0,7,9,4,5,13,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
LULU,Lululemon Athletica Inc.,"Francois Rochon, Viking Global Investors, Lee Ainslie",3,6,Accumulating,26.7,5,14,7,4,13,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
AMGN,Amgen,"Torray Funds, David Katz, Mairs & Power Funds",3,7,Slight Accumulate,13.5,2,19,14,2,13,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
BUD,Anheuser-Busch InBev,"Sarah Ketterer, Hillman Capital Management, Dodge & Cox Funds",3,6,Slight Accumulate,9.7,3,14,12,2,13,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
LRCX,Lam Research,"David Tepper, Chase Coleman, Triple Frond Partners",3,9,Slight Accumulate,2.2,10,13,15,7,13,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
BA,Boeing Co.,"David Rolfe, Hillman Capital Management, Harry Burn",3,12,Neutral,0.0,12,18,19,11,13,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
TLN,Talen Energy Corp,"Howard Marks, Stephen Mandel, Yacktman Asset Management",3,5,Neutral,0.0,5,7,11,1,13,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
APP,Applovin Corp.,"Chase Coleman, Stephen Mandel, Viking Global Investors",3,6,Neutral,0.0,9,9,13,5,13,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
MAR,Marriott Int'l.,"Terry Smith, AKO Capital, Thomas Gayner",3,9,Slight Distribute,-2.4,8,32,33,9,13,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
WAT,Waters Corp.,"Terry Smith, Jensen Investment Management, AKO Capital",3,8,Slight Distribute,-3.4,6,22,30,0,13,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
LMT,Lockheed Martin Corp.,"Yacktman Asset Management, Thomas Gayner, Torray Funds",3,7,Slight Distribute,-11.5,4,19,25,4,13,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
SAP,SAP SE,"Christopher Davis, Sarah Ketterer, Ruane Cunniff LP",3,5,Slight Distribute,-15.4,2,9,15,0,13,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
TFC,Truist Financial Corp.,"Thomas Russo, Christopher Davis, Tweedy Browne",3,7,Slight Distribute,-18.2,1,17,23,3,13,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
KVUE,Kenvue Inc,"Yacktman Asset Management, Tweedy Browne, Daniel Loeb",3,8,Distributing,-21.1,5,10,17,6,13,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
